Y/N,Name,Carbs (g),per hour,,Carb source,Cost,Cost per g,Box cost,Sodium,Sugars,Flavors,URL,Notes,
Untested,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
✅✅,Precision Nutrition PF90 gel,90,1,🧪,"Maltodextrin, Fructose",$6.66,$0.07,$53 for 10,0mg,36,n/a,https://thefeed.com/products/precision-fuel-and-hydration-pf30-gel?variant=39938329083967&queryID=c02ff5e90de3aaaa67e33cd03d8f317d,Neutral,
✅✅,Carbs,50,2,🧪,"Maltodextrin, Fructose, Sucrose",$2.00,$0.04,$28 for 18,105mg,29g,n/a,https://thefeed.com/products/carbs-fuel-original-energy-gel?variant=40304915611711&queryID=ebb852723ebd5d3e57fba24657a3d232,"Sticky, sweet caramel gel. Kinda like a drink. ",
,Styrkr Gel50,50,2,🧪,"Maltodextrin, Fructose",$4.00,$0.08,$45 for 12,0mg,25g,"Mixed berry, Mild citrus",https://thefeed.com/products/styrkr-gel50-dual-carb-energy-gel?variant=40350043045951&queryID=ebb852723ebd5d3e57fba24657a3d232,,
✅,Chargel Gel 'drink',45,2,🧪,"Dextrin, Sucrose",$3.50,$0.08,$21 for 6,105mg,18g,"White grape, Green apple, Strawberry",https://thefeed.com/products/chargel-gel-drink?variant=39799499259967&queryID=ea4f5c275cf6eca52767d23f1f5b571f,"HUGE in size. Picture bits of green apple jello in juice. Very easy to drink. Sweet af. Given the size, can't store that many in your vest. ",
✅✅,6d Sports Ultra,45,2,🧪,"Maltodextrin, Fructose",$3.75,$0.08,$21 for 6,200mg,25g,"Kiwi, Peach",https://thefeed.com/products/6d-sports-nutrition-ultra-gel?variant=40195016753215&queryID=ea4f5c275cf6eca52767d23f1f5b571f,Like water,
,SIS Beta fuel,40,2,🧪,"Maltodextrin, Fructose",$2.50,$0.06,$15 for 6,15mg,18g,"Neutral, Orange, Strawberry",https://thefeed.com/products/sis-beta-fuel-gel-1?variant=40234104979519&queryID=065e9c058cea7cfe7e55f64ff227dd64,,
,AMACX Turbo Gel,40,2,🧪,"Maltodextrin, Fructose",$3.00,$0.08,$34 for 12,200mg,20.5g,Citrus,https://thefeed.com/products/amacx-turbo-gel?variant=40201421652031&queryID=065e9c058cea7cfe7e55f64ff227dd64,A lot like Neversecond,
,Enervit C2:1PRO Carbo Gel,40,2,🧪,"Maltodextrin, Fructose",$3.50,$0.09,$79 for 24,0mg,16g,"Citrus, Lime",https://thefeed.com/products/enervit-c2-1-carbo-gel?variant=40108172836927&queryID=065e9c058cea7cfe7e55f64ff227dd64,,
✅,Maurten 160,40,2,🥬,"Glucose, Fructose",$5.40,$0.14,$50 for 10,30mg,40g,n/a,https://thefeed.com/products/maurten-gel-160?variant=40160118603839,,
✅✅,Precision Nutrition PF30 chew,30,3,🧪,"Maltodextrin, Fructose",$2.49,$0.08,$35 for 15,0mg,27g,n/a,https://thefeed.com/products/precision-fuel-and-hydration-pf90-gel?variant=39938333835327&queryID=ebb852723ebd5d3e57fba24657a3d232,"Dana is right - these are refreshing. They're not sickly sweet, more light and airy. Almost feels like one of those powdered European delights. ","18g glucose, 9g fructose"
✅✅,AMACX Drink Gel,30,3,🧪,"Maltodextrin, Fructose",$2.75,$0.09,$31 for 12,200mg,12.4g,"Rasberry, Citrus, Orange, Cola",https://thefeed.com/products/amacx-drink-gel?variant=40201436627007&queryID=6aac1244380d2e4e4b368f61a1373730,,
✅✅,Precision Nutrition PF30 gel,30,3,🧪,"Maltodextrin, Fructose",$3.00,$0.10,$40 for 15,0mg,12g,n/a,https://thefeed.com/products/precision-fuel-and-hydration-pf30-chew?variant=39938466906175&queryID=82b468825bfafa403eab7ffb86530630,Neutral,
,6d Sports,30,3,🧪,"Maltodextrin, Fructose",$3.25,$0.11,$18 for 6,200mg,10g,"Lemon, Mango, Red fruit, Orange",https://thefeed.com/products/6d-sports-nutrition-energy-gel?variant=40195002433599&queryID=a0fc84cf4432e06e406b27e57e5e713f,,
✅✅,NEVERSECOND C30,30,3,🧪,"Maltodextrin, Fructose",$3.50,$0.12,$42 for 12,200mg,10g,"Berry, Fruit punch, Citrus, Passionfruit",https://thefeed.com/products/neversecond-c30-energy-gel?variant=39679229689919,Strawberry salt water. Like the 6d. Passion fruit flavor is INCREDIBLE. ,
,Torq Energy Gel,29,2,🧪,"Maltodextrin, Fructose",$2.75,$0.09,$37 for 12,50mg,11g,"Apple crumble, Rhubard custard, Orange and banana",https://thefeed.com/products/torq-energy-gel?variant=40162740863039&queryID=39a4ef9bbe6dde4c9dc8331ebd39fef1,,
✅,Maurten 100,25,3,🥬,"Glucose, Fructose",$3.90,$0.16,$43 for 12,20mg,25g,n/a,https://thefeed.com/products/maurten-gel-100?variant=12802630910015&queryID=ab074d5a5971b99e12719f8d5b6ef142,Flavorless jello,
❌,Clif SHOT gel,24,3,,"Maltodextrin, Sucrose",$1.75,$0.07,$42 for 24,90mg,12g,Too many,https://www.amazon.com/Clif-Shot-Caffeine-Performance-Endurance/dp/B007F1FKF2?th=1,FAKE AF,
❌,SIS Go Isotonic ,22,3,🧪,Maltodextrin,$1.89,$0.09,$50 for 30,4mg,.2g,"Lemon, Tropical, Orange, Tutti Fruiti, Cherry",https://thefeed.com/products/science-in-sport-energy-gel?variant=13174351527999&queryID=52bda5fc3c6cfaa472a33be392745c89,"Unnatural, gross tasting",
✅,Muir,20,3,🥬,"Natural; fructose, glucose, sucrose",$2.90,$0.15,$68 for 24,100mg,17g,"Raspberry, Strawberry, Blueberry and Passionfruit fig",https://thefeed.com/products/muir-energy-gel?variant=40022554345535,Thick but natural foods,
✅,"Spring Awesome (says 45g, but might be lower)",20,3,🥬,"Natural; fructose, glucose, sucrose",$4.20,$0.21,$82 for 20,156mg,6g,n/a,https://thefeed.com/products/spring-energy-awesome-sauce?variant=33325491781695&queryID=96741f80d391e057555cbf5aa5927c62,,
✅,Spring CanaBERRY,17,3,🥬,"Natural; fructose, glucose, sucrose",$4.20,$0.25,$82 for 20,60mg,5g,n/a,https://thefeed.com/products/spring-energy-canaberry?variant=32407757717567&queryID=96741f80d391e057555cbf5aa5927c62,,
✅,Spring SpeedNut,19,3,🥬,"Natural; fructose, glucose, sucrose",$4.20,$0.22,$82 for 20,6mg,10g,n/a,https://thefeed.com/products/spring-energy-speednut?variant=32407134863423&queryID=e0d22bcb4d47073ac7f4f61929103100,,
✅,Spring Power Rush,22,3,🥬,"Natural; fructose, glucose, sucrose",$4.20,$0.19,$82 for 20,175mg,15g,n/a,https://thefeed.com/products/spring-energy-power-rush?variant=32407087743039&queryID=e0d22bcb4d47073ac7f4f61929103100,,
✅,Spring Hill Aid,20,3,🥬,"Natural; fructose, glucose, sucrose",$4.20,$0.21,$82 for 20,156mg,6g,n/a,https://thefeed.com/products/spring-energy-hill-aid?variant=32407609344063&queryID=96741f80d391e057555cbf5aa5927c62,,
✅,Spring Long Haul,19,3,🥬,"Natural; fructose, glucose, sucrose",$4.20,$0.22,$82 for 20,140mg,9g,n/a,https://thefeed.com/products/spring-energy-long-haul?variant=32407226384447&queryID=3fe9f713d8d0c4d80e912fd3725bdbb1,,
✅✅,Mott's fruit snacks,19,4,🧪,"Corn syrup, sucrose",$0.17,$0.01,$15 for 90,,9g,n/a,Costco,,
,"Swedish Fish, 3.5oz (~17)",38,7,🧪,"Corn syrup, sucrose",$1.95,$0.05,,20mg,32g,n/a,https://www.walmart.com/ip/Swedish-Fish-Fat-Free-Assorted-Flavors-Soft-Chewy-Candies-3-5-oz/177533397,,
,"Sour Patch kids, 1lb bag (~348)",27,12,🧪,"Corn syrup, sucrose",$12.76,$0.47,,,,,,,
